City,Location,Cuisine,Ratings,No. of Reviews
0,11,29,4.1,504
0,11,10,4.1,504
0,11,15,4.1,504
0,11,37,4.1,504
0,11,28,4.1,504
0,5,29,4.1,2245
0,1,15,4,6532
0,1,10,4,6532
0,1,39,4,6532
0,1,13,4,6532
0,1,5,4,6532
0,9,13,4.1,395
0,9,19,4.1,395
0,8,26,4.4,189
0,8,40,4.4,189
0,8,15,4.4,189
0,9,4,4.1,178
0,9,13,4.1,178
0,0,29,4,501
0,5,15,4,246
0,5,33,4,246
0,5,24,4,246
0,5,5,4,246
0,5,10,4,246
0,5,29,4,246
0,5,38,4,246
0,1,28,4.1,70
0,1,6,4.1,70
0,5,4,4.1,1074
0,5,13,4.1,1074
0,4,29,3.4,1403
0,4,10,4.2,1368
0,4,15,4.2,1368
0,4,7,4.2,1368
0,4,5,4.2,1368
0,6,29,3.7,456
0,6,32,3.7,456
0,6,38,3.7,456
0,5,29,3.4,1730
0,5,10,3.4,1730
0,5,6,3.4,1730
0,7,29,3.9,708
0,7,12,3.9,708
0,7,28,3.9,708
0,7,23,3.9,708
0,7,34,3.9,708
0,3,26,4.1,435
0,3,10,4.1,435
0,3,29,4.1,435
0,3,15,4.1,435
0,3,7,4.1,435
0,9,29,3.3,595
0,9,40,3.3,595
0,11,12,3.9,5727
0,11,10,3.9,5727
0,11,29,3.9,5727
0,11,15,3.9,5727
0,11,36,3.9,5727
0,11,33,3.9,5727
0,5,3,3.8,447
0,5,28,3.8,447
0,5,13,3.8,447
0,5,29,3.8,447
0,9,29,4.1,1418
0,9,3,4.1,1418
0,0,29,3.8,810
0,0,15,3.8,810
0,0,40,3.8,810
0,0,25,3.8,810
0,0,5,3.8,810
0,0,38,3.8,810
0,3,29,3.4,114
0,3,3,3.4,114
0,9,11,3.5,76
0,9,13,3.5,76
0,9,5,3.5,76
0,7,7,3.8,403
0,7,15,3.8,403
0,0,29,3.8,5115
0,6,33,3.9,83
0,6,15,3.9,83
0,6,5,3.9,83
0,0,15,3.7,81
0,0,40,3.7,81
0,0,29,3.7,81
0,9,29,4.6,72
0,11,29,4.2,316
0,11,28,4.2,316
0,11,2,4.2,316
0,11,20,4.2,316
0,9,40,3.3,115
0,9,39,4.1,242
0,7,39,3.8,132
0,7,10,3.8,132
0,7,15,3.8,132
0,7,33,3.8,132
0,7,36,3.8,132
0,7,7,3.8,132
0,0,29,3.8,3495
0,0,10,3.8,3495
0,9,29,4,65
0,9,10,4,65
0,9,35,4,65
0,9,3,4,65
0,9,13,4,65
0,9,15,4.4,47
0,11,29,4,519
0,11,28,4,519
0,11,6,4,519
0,11,13,4,519
0,11,5,4,519
0,11,38,4,519
0,11,10,4,519
0,11,12,4,519
0,9,26,4.5,115
0,9,40,4.5,115
0,0,33,4.1,695
0,0,15,4.1,695
0,0,5,4.1,695
0,0,40,3.5,2816
0,7,40,4,20
0,6,40,3.7,42
0,5,36,4,75
0,5,33,4,75
0,5,5,4,75
0,7,29,3.7,121
0,7,10,3.7,121
0,7,28,3.7,121
0,7,6,3.7,121
0,9,26,4.4,191
0,5,29,4.2,72
0,5,12,4,823
0,5,5,4,823
0,5,36,4,823
0,5,33,4,823
0,5,8,4,823
0,5,32,4,823
0,5,20,4,823
0,5,15,4,823
0,6,6,3.7,40
0,7,29,3.6,607
0,11,15,3.4,121
0,11,10,3.4,121
0,1,40,3.184418356,8
0,5,15,3.9,194
0,5,33,3.9,194
0,5,38,3.9,194
0,11,29,3.5,113
0,11,28,3.5,113
0,11,34,3.5,113
0,3,4,4.5,76
0,3,15,4.5,76
0,9,12,3.184418356,20
0,9,33,3.184418356,20
0,9,7,3.184418356,20
0,9,15,3.184418356,20
0,9,10,3.184418356,20
0,9,29,3.184418356,20
0,9,29,4,24
0,7,29,3.6,38
0,7,13,3.6,38
0,9,29,4,2691
0,9,10,4,2691
0,9,15,4,2691
0,9,13,4,2691
0,9,5,4,2691
0,9,29,4.5,73
0,9,29,3.184418356,9
0,5,29,3.184418356,12
0,5,10,3.184418356,12
0,5,15,3.184418356,12
0,1,29,3.8,29
0,11,33,3.9,193
0,11,15,3.9,193
0,11,27,3.9,193
0,11,5,3.9,193
0,5,40,3.8,187
0,5,29,3.8,187
0,9,29,3.8,730
0,9,10,3.8,730
0,9,28,3.8,730
0,9,37,3.8,730
0,9,33,4.2,1518
0,9,7,4.2,1518
0,9,36,4.2,1518
0,9,15,4.2,1518
0,9,5,4.2,1518
0,3,39,3.7,232
0,3,5,3.7,232
0,3,19,3.7,232
0,9,40,4.1,2481
0,5,8,4.5,167
0,5,33,4.5,167
0,5,15,4.5,167
0,5,20,4.5,167
0,5,36,4.5,167
0,5,5,4.5,167
0,11,15,3.5,120
0,11,36,3.5,120
0,11,5,3.5,120
0,5,40,3.5,735
0,5,26,3.5,735
0,11,29,3.8,12000
0,11,10,3.8,12000
0,0,40,3.9,333
0,0,33,3.9,333
0,0,10,3.9,333
0,0,15,3.9,333
0,0,7,3.9,333
0,0,5,3.9,333
0,1,33,4,4541
0,1,15,4,4541
0,1,5,4,4541
0,1,10,3.7,154
0,1,40,3.7,154
0,1,15,3.7,154
0,1,29,3.7,154
0,0,26,4.3,82
0,7,26,3.6,1497
0,7,5,3.6,1497
0,0,4,4.2,2674
0,0,13,4.2,2674
0,0,15,4.2,2674
0,0,17,3.4,881
0,0,15,3.4,881
0,0,5,3.4,881
0,11,19,4.4,409
0,11,13,4.4,409
0,11,5,4.4,409
0,5,17,3.2,24
0,5,35,3.2,24
0,5,15,3.2,24
0,5,5,3.2,24
0,11,44,3.8,120
0,11,29,3.8,120
0,11,37,3.8,120
0,9,28,3.4,357
0,9,29,3.4,357
0,11,5,4,51
0,11,7,4,51
0,11,11,4,51
0,11,17,4,51
0,11,32,4,51
0,11,33,4,51
0,11,35,4,51
0,11,36,4,51
0,3,15,4,90
0,3,10,4,90
0,9,29,3.8,49
0,0,40,4.4,138
0,7,29,3.4,140
0,7,10,3.4,140
0,7,15,3.4,140
0,7,34,3.4,140
0,6,29,4.1,1949
0,6,10,4.1,1949
0,6,37,4.1,1949
0,5,4,4.3,214
0,5,13,4.3,214
0,9,19,4.4,335
0,9,13,4.4,335
0,9,5,4.4,335
0,1,34,3.7,727
0,1,29,3.7,727
0,1,6,3.7,727
0,11,29,4.1,1342
0,11,28,4.1,1342
0,11,10,4.1,1342
0,10,29,3.3,53
0,11,29,4,27
0,0,19,4.5,208
0,0,13,4.5,208
0,6,29,3.2,23
0,9,29,3.1,31
0,1,29,3.6,68
0,1,10,3.6,68
0,1,15,3.6,68
0,9,29,4,26
0,9,29,3.6,94
0,9,28,3.6,94
0,9,34,3.6,94
0,9,15,3.6,38
0,9,29,3.6,38
0,7,6,4.4,63
0,7,29,4.4,63
0,5,19,4,23
0,5,13,4,23
0,5,5,4,23
0,0,29,3.4,253
0,0,40,3.4,253
0,0,28,3.4,253
0,0,10,3.4,253
0,0,15,3.4,253
0,0,5,3.4,253
0,5,15,3.7,1616
0,5,12,3.7,1616
0,1,29,3.6,164
0,1,10,3.6,164
0,4,4,4.1,803
0,4,13,4.1,803
0,4,40,4.1,803
0,5,10,3.6,147
0,5,15,3.6,147
0,5,33,3.6,147
0,4,39,3.9,783
0,4,29,3.9,783
0,4,10,3.9,783
0,5,33,4.1,223
0,5,15,4.1,223
0,5,38,4.1,223
0,0,33,3.1,507
0,0,20,3.1,507
0,0,15,3.1,507
0,0,7,3.1,507
0,0,36,3.1,507
0,0,38,3.1,507
0,5,40,3.7,395
0,5,29,3.7,215
0,5,12,3.7,215
0,5,10,3.7,215
0,5,37,3.7,215
0,5,24,3.7,215
0,5,15,3.7,215
0,5,36,3.7,215
0,5,33,3.7,215
0,5,4,3.9,506
0,0,10,3.5,78
0,0,29,3.5,78
0,0,15,3.5,78
0,11,15,4,19
0,11,5,4,19
0,4,15,3.8,657
0,4,7,3.8,657
0,4,5,3.8,657
0,5,15,4.1,46
0,5,36,4.1,46
0,5,5,4.1,46
0,3,29,3.4,635
0,3,15,3.4,635
0,9,5,3.9,481
0,9,13,3.9,481
0,9,35,3.9,481
0,9,15,3.9,481
0,11,15,4,53
0,11,5,4,53
0,9,29,3.184418356,13
0,9,28,3.184418356,13
0,9,10,3.184418356,13
0,9,37,3.184418356,13
0,11,4,3.184418356,9
0,11,6,4,21
0,9,29,3.7,54
0,9,15,3.7,54
0,9,10,3.7,54
0,8,29,3.9,95
0,8,12,3.9,95
0,8,10,3.9,95
0,8,15,3.9,95
0,8,13,3.9,95
0,9,4,4.5,88
0,9,15,4.5,88
0,9,5,4.5,88
0,9,13,4.5,88
0,5,4,3.7,1003
0,5,13,3.7,1003
0,5,15,3.7,1003
0,9,33,4.1,74
0,9,7,4.1,74
0,9,15,4.1,74
0,9,5,4.1,74
0,11,15,4,25
0,11,40,4,25
0,11,10,4,25
0,9,29,3.184418356,15
0,4,29,3.2,170
0,5,5,3.2,46
0,5,12,3.2,46
0,5,15,3.2,46
0,5,33,3.2,46
0,5,7,3.2,46
0,5,13,3.2,46
0,1,15,3.5,359
0,1,7,3.5,359
0,1,33,3.5,359
0,1,36,3.5,359
0,1,10,3.5,359
0,1,5,3.5,359
0,10,4,3.6,703
0,10,15,3.6,703
0,0,29,3.7,82
0,0,15,3.7,82
0,5,26,3.8,560
0,5,40,3.8,560
0,5,15,3.8,560
0,5,10,3.8,560
0,5,29,3.7,92
0,5,16,3.7,92
0,5,0,3.7,92
0,9,29,4.4,411
0,9,28,4.4,411
0,9,15,4.4,411
0,9,10,4.4,411
0,5,4,4,10
0,5,13,4,10
0,5,19,4,10
0,4,26,4.3,82
0,4,19,4.3,82
0,4,13,4.3,82
0,0,4,3.9,30
0,0,13,3.9,30
0,9,19,4.4,567
0,9,13,4.4,567
0,3,29,3.8,351
0,3,10,3.8,351
0,3,12,3.8,351
0,3,15,3.8,351
0,3,37,3.8,351
0,3,5,3.8,351
0,3,38,3.8,351
0,6,29,3.7,351
0,6,10,3.7,351
0,6,6,3.7,351
0,6,33,3.7,351
0,6,28,3.7,351
0,11,29,3.8,4945
0,11,28,3.8,4945
0,11,6,3.8,4945
0,11,39,3.8,4945
0,11,5,3.8,4945
0,0,15,3.184418356,3
0,0,35,3.184418356,3
0,0,17,3.184418356,3
0,0,7,3.184418356,3
0,0,33,3.184418356,3
0,0,36,3.184418356,3
0,6,33,3.6,66
0,6,36,3.9,21
0,6,15,3.9,21
0,0,29,3.184418356,7
0,0,5,3.184418356,7
0,0,40,3.184418356,7
0,0,3,4.1,269
0,0,29,4.1,269
0,9,29,4.5,73
0,9,40,4.5,73
0,9,29,3.9,218
0,9,12,3.9,218
0,9,10,3.9,218
0,9,5,3.9,218
0,9,20,3.9,102
0,9,25,3.9,102
0,9,15,3.9,102
0,4,15,3.8,4066
0,4,7,3.8,4066
0,4,33,3.8,4066
0,4,20,3.8,4066
0,4,5,3.8,4066
0,5,19,4,2065
0,5,5,4,2065
0,5,13,4,2065
0,5,38,4,2065
0,4,29,3.5,24
0,4,5,3.5,24
